NeighbourhoodCode,Year,Month,PropertyCrimesCount,PropertyCrimesPerThousandInhabitants,PropertyCrimesPercentInCity,ViolentCrimesCount,ViolentCrimesPerThousandInhabitants,ViolentCrimesPercentInCity,BurglariesCount,BurglaryCrimesPerThousandInhabitants,BurglaryCrimesPercentInCity,AllCrimeCount,AllCrimesPerThousandInhabitants,AllCrimesPercentInCity
Bavel,2012,1,30.0,9.0973,3.881,4.0,1.213,7.8431,5.0,1.5162,6.6667,55.0,16.6784,3.8274
Bavel,2012,2,27.0,5.1551,2.1992,0.0,0.0,0.0,2.0,0.6065,2.6667,26.0,7.8843,1.8093
Bavel,2012,3,35.0,4.8519,2.0699,5.0,0.0,0.0,2.0,0.6065,2.6667,38.0,11.5233,2.6444
Bavel,2012,4,25.0,3.3357,1.423,2.0,0.0,0.0,1.0,0.3032,1.3333,21.0,6.3681,1.4614
Bavel,2012,5,16.0,10.3103,4.3984,1.0,0.6065,3.9216,5.0,1.5162,6.6667,55.0,16.6784,3.8274
Bavel,2012,6,25.0,13.0395,5.5627,2.0,1.213,7.8431,2.0,0.6065,2.6667,64.0,19.4076,4.4537
Bavel,2012,7,16.0,1.8195,0.7762,1.0,0.0,0.0,1.0,0.3032,1.3333,9.0,2.7292,0.6263
Bavel,2012,8,24.0,0.3032,0.1294,1.0,0.3032,1.9608,0.0,0.0,0.0,3.0,0.9097,0.2088
Bavel,2012,9,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bavel,2012,10,58.0,0.3032,0.1294,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9097,0.2088
Bavel,2012,11,27.0,34.5698,14.7477,1.0,2.1227,13.7255,5.0,1.5162,6.6667,178.0,53.9774,12.3869
Bavel,2012,12,19.0,6.3681,2.7167,2.0,0.0,0.0,3.0,0.9097,4.0,36.0,10.9168,2.5052
Bavel,2013,1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.8195,0.4175
Bavel,2013,2,39.0,3.3357,1.423,3.0,0.3032,1.9608,5.0,1.5162,6.6667,27.0,8.1876,1.8789
Bavel,2013,3,14.0,3.9422,1.6818,3.0,0.3032,1.9608,0.0,0.0,0.0,23.0,6.9746,1.6006
Bavel,2013,4,8.0,3.9422,1.6818,0.0,0.0,0.0,5.0,1.5162,6.6667,28.0,8.4908,1.9485
Bavel,2013,5,17.0,2.4259,1.0349,2.0,0.3032,1.9608,0.0,0.0,0.0,14.0,4.2454,0.9743
Bavel,2013,6,30.0,0.0,0.0,0.0,0.3032,1.9608,0.0,0.0,0.0,8.0,2.4259,0.5567
Bavel,2013,7,8.0,6.3681,2.7167,0.0,0.0,0.0,3.0,0.9097,4.0,35.0,10.6135,2.4356
Bavel,2013,8,25.0,2.7292,1.1643,4.0,0.0,0.0,0.0,0.0,0.0,11.0,3.3357,0.7655
Bavel,2013,9,25.0,0.3032,0.1294,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6065,0.1392
Bavel,2013,10,39.0,2.4259,1.0349,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.4584,1.2526
Bavel,2013,11,35.0,2.7292,1.1643,1.0,0.6065,3.9216,0.0,0.0,0.0,18.0,5.4584,1.2526
Bavel,2013,12,28.0,5.4584,2.3286,1.0,0.0,0.0,0.0,0.0,0.0,35.0,10.6135,2.4356
Bavel,2014,1,31.0,4.2454,1.8111,1.0,0.0,0.0,2.0,0.6065,2.6667,22.0,6.6714,1.531
Bavel,2014,2,11.0,9.7038,4.1397,1.0,1.213,7.8431,5.0,1.5162,6.6667,63.0,19.1043,4.3841
Bavel,2014,3,20.0,0.3032,0.1294,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3032,0.0696
